Period,Domestic Interest,Foreign Interest,Wages & Salaries,Pensions,Other Recurrent,Total Recurrent Expenditure,County Transfer,Development Expenditure,Total Expenditure
1999-09,3816.0,3068.0,16749.0,1387.0,12919.0,37939.0,,6539.0,44478.0
1999-12,8935.0,4597.0,33483.0,2520.0,24135.0,73670.0,,12765.0,86435.0
2000-03,15784.0,6039.0,50232.0,3732.0,39481.0,115268.0,,22493.0,137761.0
2000-06,20752.0,8635.0,65861.0,5145.0,56142.0,156535.0,,18584.0,175119.0
2000-07,2739.0,746.0,5805.0,543.0,4225.0,14058.0,,1360.0,15418.0
2000-08,4298.0,1060.0,11610.0,600.0,12192.0,29760.0,,1909.0,31669.0
2000-09,6682.0,1497.0,17415.0,1309.0,17457.0,44360.0,,5450.0,49810.0
2000-10,8659.0,1934.0,23220.0,1650.0,26926.0,62389.0,,7396.0,69785.0
2000-11,9603.0,2056.0,29025.0,2250.0,33368.0,76302.0,,9646.0,85948.0
2000-12,11302.0,2232.0,34828.0,3250.0,40593.0,92205.0,,12707.0,104912.0
2001-01,13606.0,2915.0,41062.0,4096.0,48053.0,109732.0,,13659.0,123391.0
2001-02,14901.0,3293.0,46622.0,4755.0,57650.0,127221.0,,14807.0,142028.0
2001-03,16906.0,3727.0,52472.0,5116.0,65606.0,143827.0,,22196.0,166023.0
2001-04,19225.0,4205.0,57431.0,5476.0,77896.0,164233.0,,23466.0,187699.0
2001-05,20500.0,4445.0,62451.0,5837.0,86235.0,179468.0,,28892.0,208360.0
2001-06,23232.0,7803.0,68119.0,6136.0,93651.0,198941.0,,33980.0,232921.0
2001-07,2349.0,1232.0,5699.0,5.0,3534.0,12819.0,,1007.0,13826.0
2001-08,3772.0,1617.0,12460.0,1475.0,11435.0,30759.0,,3542.0,34301.0
2001-09,5742.0,2436.0,18375.0,2505.0,15315.0,44373.0,,4609.0,48982.0
2001-10,7844.0,3006.0,25313.0,2620.0,20733.0,59516.0,,6140.0,65656.0
2001-11,9534.0,3238.0,31641.0,4213.0,31315.0,79941.0,,7676.0,87617.0
2001-12,11985.0,4150.0,37837.0,4998.0,34640.0,93610.0,,8551.0,102161.0
2002-01,14135.0,4998.0,44767.0,5782.0,42190.0,111872.0,,10555.0,122427.0
2002-02,15878.0,5456.0,51073.0,6561.0,49359.0,128327.0,,12057.0,140384.0
2002-03,18044.0,6186.0,57542.0,6572.0,55781.0,144125.0,,13467.0,157592.0
2002-04,20423.0,6754.0,64827.0,7365.0,63667.0,163036.0,,15218.0,178254.0
2002-05,21852.0,6941.0,72343.0,8155.0,69418.0,178709.0,,20459.0,199168.0
