Period,recurrent expenditure_domestic interest_grants,recurrent expenditure_foreign interest_grants,recurrent expenditure_wages & salaries_grants,recurrent expenditure_pensions_grants,recurrent expenditure_other_grants,recurrent expenditure_total_recurrent_expenditure,county_total_county transfer_expenditure,development expenditure_total_expenditure_expenditure,total_expenditure_expenditure_expenditure
1999-12,8935,4597,33483,2520,24135,73670,,12765,86435
2000-03,15784,6039,50232,3732,39481,115268,,22493,137761
2000-06,20752,8635,65861,5145,56142,156535,,18584,175119
2000-07,2739,746,5805,543,4225,14058,,1360,15418
2000-08,4298,1060,11610,600,12192,29760,,1909,31669
2000-09,6682,1497,17415,1309,17457,44360,,5450,49810
2000-10,8659,1934,23220,1650,26926,62389,,7396,69785
2000-11,9603,2056,29025,2250,33368,76302,,9646,85948
2000-12,11302,2232,34828,3250,40593,92205,,12707,104912
2001-01,13606,2915,41062,4096,48053,109732,,13659,123391
2001-02,14901,3293,46622,4755,57650,127221,,14807,142028
2001-03,16906,3727,52472,5116,65606,143827,,22196,166023
2001-04,19225,4205,57431,5476,77896,164233,,23466,187699
2001-05,20500,4445,62451,5837,86235,179468,,28892,208360
2001-06,23232,7803,68119,6136,93651,198941,,33980,232921
2001-07,2349,1232,5699,5,3534,12819,,1007,13826
2001-08,3772,1617,12460,1475,11435,30759,,3542,34301
2001-09,5742,2436,18375,2505,15315,44373,,4609,48982
2001-10,7844,3006,25313,2620,20733,59516,,6140,65656
2001-11,9534,3238,31641,4213,31315,79941,,7676,87617
2001-12,11985,4150,37837,4998,34640,93610,,8551,102161
2002-01,14135,4998,44767,5782,42190,111872,,10555,122427
2002-02,15878,5456,51073,6561,49359,128327,,12057,140384
2002-03,18044,6186,57542,6572,55781,144125,,13467,157592
2002-04,20423,6754,64827,7365,63667,163036,,15218,178254
2002-05,21852,6941,72343,8155,69418,178709,,20459,199168
2002-06,23744,6640,78125,8995,84458,201962,,24953,226915
2002-07,3105,732,6970,626,5575,17008,,1780,18788
2002-08,5076,1170,14272,1356,13180,35054,,5340,40394
2002-09,7374,1742,19277,2256,19201,49850,,7985,57835
2002-10,9592,3938,26719,3216,26205,69670,,9576,79246
2002-11,11240,4868,33753,4166,31889,85916,,12757,98673
2002-12,13533,5634,41200,5071,40518,105956,,14794,120750
2003-01,16005,6316,48182,5615,50135,126253,,17438,143691
