Period,Programme Grants,Project Grants,Total Grants,Total Revenue
1999-09,6.0,1197.0,1203.0,41314.0
1999-12,329.0,2211.0,2540.0,86329.0
2000-03,344.0,3319.0,3663.0,130592.0
2000-06,0.0,4247.0,4247.0,178443.0
2000-07,0.0,323.0,323.0,11615.0
2000-08,0.0,516.0,516.0,26603.0
2000-09,0.0,3069.0,3069.0,44272.0
2000-10,0.0,3355.0,3355.0,59000.0
2000-11,0.0,3569.0,3569.0,74580.0
2000-12,1714.0,6420.0,8134.0,90365.0
2001-01,1714.0,8410.0,10124.0,107283.0
2001-02,1714.0,8654.0,10368.0,123180.0
2001-03,1714.0,11232.0,12946.0,140806.0
2001-04,3585.0,11648.0,15233.0,154829.0
2001-05,3585.0,11793.0,15378.0,177551.0
2001-06,5955.0,18125.0,24080.0,194713.0
2001-07,0.0,120.0,120.0,11765.0
2001-08,1026.0,501.0,1527.0,28323.0
2001-09,1026.0,693.0,1719.0,44241.0
2001-10,1026.0,1229.0,2255.0,58784.0
2001-11,1026.0,1716.0,2742.0,75369.0
2001-12,1026.0,2002.0,3028.0,90774.0
2002-01,1026.0,2378.0,3404.0,107060.0
2002-02,1026.0,2675.0,3701.0,123569.0
2002-03,1026.0,3546.0,4572.0,137682.0
2002-04,1473.0,3681.0,5154.0,156449.0
2002-05,1473.0,4988.0,6461.0,174561.0
2002-06,1473.0,5350.0,6823.0,197768.0
2002-07,0.0,698.0,698.0,12931.0
2002-08,0.0,1691.0,1691.0,28386.0
2002-09,0.0,2712.0,2712.0,45852.0
2002-10,0.0,2983.0,2983.0,61375.0
2002-11,0.0,3539.0,3539.0,77301.0
2002-12,0.0,3621.0,3621.0,96488.0
2003-01,0.0,4673.0,4673.0,114306.0
2003-02,0.0,5808.0,5808.0,135563.0
2003-03,0.0,7366.0,7366.0,151085.0
2003-04,0.0,9195.0,9195.0,170199.0
2003-05,0.0,12502.0,12502.0,187331.0
2003-06,458.0,14484.0,14942.0,210750.0
2003-07,0.0,173.0,173.0,15055.0
2003-08,0.0,2761.0,2761.0,31375.0
2003-09,4275.0,2908.0,7183.0,51865.0
2003-10,4275.0,3376.0,7651.0,69253.0
2003-11,4275.0,5055.0,9330.0,86309.0
2003-12,4383.0,5959.0,10342.0,111545.0
2004-01,4383.0,6128.0,10511.0,130095.0
2004-02,4383.0,8163.0,12546.0,148443.0
2004-03,4383.0,8165.0,12548.0,169704.0
2004-04,4383.0,9784.0,14167.0,195707.0
2004-05,4383.0,9894.0,14277.0,216212.0
2004-06,4383.0,11841.0,16224.0,254681.0
2004-07,0.0,1747.0,1747.0,16815.0
2004-08,0.0,2199.0,2199.0,37150.0
2004-09,0.0,3395.0,3395.0,60636.0
2004-10,0.0,3696.0,3696.0,85625.0
2004-11,0.0,3774.0,3774.0,108541.0
2004-12,0.0,5611.0,5611.0,138944.0
2005-01,0.0,7108.0,7108.0,165646.0
2005-02,0.0,9366.0,9366.0,185519.0
2005-03,0.0,10371.0,10371.0,208765.0
2005-04,0.0,11236.0,11236.0,232806.0
2005-05,0.0,12396.0,12396.0,254180.0
2005-06,5564.0,9341.0,14905.0,289802.0
2005-07,0.0,818.0,818.0,15481.0
2005-08,0.0,1881.0,1881.0,37412.0
2005-09,0.0,3760.0,3760.0,64944.0
2005-10,0.0,4201.0,4201.0,90921.0
2005-11,0.0,4704.0,4704.0,111605.0
2005-12,0.0,5698.0,5698.0,142615.0
2006-01,4371.0,9548.0,13919.0,169821.0
2006-02,4371.0,10131.0,14502.0,190226.0
2006-03,4371.0,11234.0,15605.0,217152.0
2006-04,4371.0,11981.0,16352.0,240990.0
2006-05,4371.0,12579.0,16950.0,273491.0
2006-06,4371.0,15592.0,19963.0,313595.55
2006-07,0.0,264.0,264.0,22645.79
2006-08,0.0,1440.0,1440.0,46458.0
2006-09,0.0,2173.0,2173.0,75557.0
2006-10,0.0,3693.0,3693.0,104171.0
2006-11,0.0,5025.0,5025.0,128657.0
2006-12,0.0,6027.0,6027.0,162438.82
2007-01,0.0,6163.0,6163.0,195320.0
2007-02,0.0,6463.0,6463.0,221743.0
2007-03,0.0,8283.0,8283.0,256714.0
2007-04,0.0,11011.0,11011.0,290445.0
2007-05,0.0,11150.0,11150.0,327955.0
2007-06,0.0,15494.0,15494.0,373030.0
2007-07,0.0,656.0,656.0,33516.0
2007-08,0.0,1167.0,1167.0,64797.0
2007-09,0.0,1237.0,1237.0,96010.0
2007-10,0.0,4735.0,4735.0,130402.0
2007-11,0.0,6365.0,6365.0,162583.0
2007-12,0.0,8362.0,8362.0,203731.0
2008-01,3759.0,12345.0,16104.0,241522.0
2008-02,3759.0,12345.0,16104.0,269306.0
2008-03,3759.0,14305.0,18064.0,308283.0
2008-04,3759.0,16166.0,19925.0,346191.0
2008-05,3759.0,21036.0,24795.0,381631.0
2008-06,3759.0,21689.0,25448.0,432220.0
2008-07,0.0,121.0,121.0,33552.0
2008-08,0.0,2090.0,2090.0,66228.0
2008-09,0.0,3239.0,3239.0,108886.0
2008-10,0.0,3520.0,3520.0,146247.0
2008-11,0.0,3890.0,3890.0,180260.0
2008-12,0.0,5165.0,5165.0,231761.0
2009-01,0.0,6225.0,6225.0,271194.0
2009-02,0.0,9604.0,9604.0,309245.0
2009-03,0.0,13209.0,13209.0,344225.0
2009-04,0.0,14659.0,14659.0,392555.0
2009-05,0.0,17202.0,17202.0,432440.0
2009-06,0.0,18065.0,18065.0,487893.0
2009-07,0.0,2018.0,2018.0,38062.0
2009-08,0.0,2549.0,2549.0,72271.0
2009-09,0.0,3469.0,3469.0,126653.0
