Period,total_tax_revenue,total_revenue_revenue,grants_total_grants,recurrent expenditure_total_recurrent_expenditure,county_total_county transfer_expenditure,development expenditure_total_expenditure_expenditure,total_expenditure_expenditure_expenditure
1999-12,73198,86329,2540,73670,,12765,86435
2000-03,109836,130592,3663,115268,,22493,137761
2000-06,152444,178443,4247,156535,,18584,175119
2000-07,9998,11615,323,14058,,1360,15418
2000-08,22346,26603,516,29760,,1909,31669
2000-09,37475,44272,3069,44360,,5450,49810
2000-10,49681,59000,3355,62389,,7396,69785
2000-11,63682,74580,3569,76302,,9646,85948
2000-12,76969,90365,8134,92205,,12707,104912
2001-01,90241,107283,10124,109732,,13659,123391
2001-02,101786,123180,10368,127221,,14807,142028
2001-03,115517,140806,12946,143827,,22196,166023
2001-04,128085,154829,15233,164233,,23466,187699
2001-05,143685,177551,15378,179468,,28892,208360
2001-06,163171,194713,24080,198941,,33980,232921
2001-07,10026,11765,120,12819,,1007,13826
2001-08,23660,28323,1527,30759,,3542,34301
2001-09,37230,44241,1719,44373,,4609,48982
2001-10,48761,58784,2255,59516,,6140,65656
2001-11,62550,75369,2742,79941,,7676,87617
2001-12,76215,90774,3028,93610,,8551,102161
2002-01,90212,107060,3404,111872,,10555,122427
2002-02,102231,123569,3701,128327,,12057,140384
2002-03,114716,137682,4572,144125,,13467,157592
2002-04,127584,156449,5154,163036,,15218,178254
2002-05,143466,174561,6461,178709,,20459,199168
2002-06,160394,197768,6823,201962,,24953,226915
2002-07,10807,12931,698,17008,,1780,18788
2002-08,24206,28386,1691,35054,,5340,40394
2002-09,38981,45852,2712,49850,,7985,57835
2002-10,52478,61375,2983,69670,,9576,79246
2002-11,66299,77301,3539,85916,,12757,98673
2002-12,81948,96488,3621,105956,,14794,120750
2003-01,96782,114306,4673,126253,,17438,143691
2003-02,110021,135563,5808,147057,,19240.5,166298
2003-03,124775,151085,7366,161078,,21043,182121
2003-04,141737,170199,9195,175189,,29145,204334
2003-05,156917,187331,12502,195760,,35248,231008
2003-06,176999,210750,14942,220618,,43526,264144
2003-07,12716,15055,173,19111.98,,2438,21549.98
2003-08,26151,31375,2761,36971.5,,6756,43727.5
2003-09,43578,51865,7183,53579,,7676,61255
2003-10,58616,69253,7651,72544,,8740,81284
2003-11,72868,86309,9330,87275,,11742,99017
2003-12,91661,111545,10342,106877,,14910,121787
