Period,Import Duty,Excise Duty,Income Tax,VAT,Total Tax Revenue
1999-09,7157.0,6869.0,12054.0,9255.0,35335.0
1999-12,13912.0,14007.0,25545.0,19734.0,73198.0
2000-03,21407.0,21182.0,37156.0,30091.0,109836.0
2000-06,28605.0,28493.0,54402.0,40944.0,152444.0
2000-07,2813.0,1572.0,2905.0,2708.0,9998.0
2000-08,4427.0,4152.0,6375.0,7392.0,22346.0
2000-09,7273.0,6604.0,12174.0,11424.0,37475.0
2000-10,10131.0,8716.0,15448.0,15386.0,49681.0
2000-11,13022.0,11314.0,19522.0,19824.0,63682.0
2000-12,15048.0,13379.0,25026.0,23516.0,76969.0
2001-01,17301.0,16115.0,28901.0,27924.0,90241.0
2001-02,19313.0,18250.0,32481.0,31742.0,101786.0
2001-03,21733.0,20457.0,36597.0,36730.0,115517.0
2001-04,23951.0,22896.0,40043.0,41195.0,128085.0
2001-05,26224.0,25321.0,46418.0,45722.0,143685.0
2001-06,28726.0,28318.0,55829.0,50298.0,163171.0
2001-07,1697.0,1830.0,3162.0,3337.0,10026.0
2001-08,4407.0,4515.0,6572.0,8166.0,23660.0
2001-09,5945.0,6662.0,12346.0,12277.0,37230.0
2001-10,7672.0,8968.0,15683.0,16438.0,48761.0
2001-11,9946.0,11758.0,19614.0,21232.0,62550.0
2001-12,11575.0,14113.0,25701.0,24826.0,76215.0
2002-01,13305.0,17460.0,29724.0,29723.0,90212.0
2002-02,14508.0,20586.0,33596.0,33541.0,102231.0
2002-03,16114.0,23178.0,37918.0,37506.0,114716.0
2002-04,17607.0,26016.0,42065.0,41896.0,127584.0
2002-05,19323.0,28974.0,48780.0,46389.0,143466.0
2002-06,21584.0,32077.0,55862.0,50871.0,160394.0
2002-07,1421.0,2479.0,3015.0,3892.0,10807.0
2002-08,3226.0,5431.0,7540.0,8009.0,24206.0
2002-09,4554.0,8517.0,13442.0,12468.0,38981.0
2002-10,5963.0,10389.0,17528.0,18598.0,52478.0
2002-11,7383.0,13097.0,22656.0,23163.0,66299.0
2002-12,8520.0,15946.0,29916.0,27566.0,81948.0
2003-01,10119.0,19296.0,34827.0,32540.0,96782.0
2003-02,11781.0,22291.0,38580.0,37369.0,110021.0
2003-03,13276.0,25303.0,44149.0,42047.0,124775.0
2003-04,14712.0,28428.0,51614.0,46983.0,141737.0
2003-05,16542.0,31455.0,57418.0,51502.0,156917.0
2003-06,18477.0,35643.0,66744.0,56135.0,176999.0
2003-07,1677.0,2681.0,4736.0,3622.0,12716.0
2003-08,3297.0,5574.0,9577.0,7703.0,26151.0
2003-09,4994.0,8937.0,16934.0,12713.0,43578.0
2003-10,6647.0,12019.0,21865.0,18085.0,58616.0
2003-11,8084.0,15401.0,26451.0,22932.0,72868.0
2003-12,10044.0,18800.0,34766.0,28051.0,91661.0
2004-01,12079.0,22689.0,39854.0,33458.0,108080.0
2004-02,13758.0,25819.0,45323.0,38472.0,123372.0
2004-03,15790.0,29434.0,51380.0,44115.0,140719.0
2004-04,18003.0,32817.0,60967.0,49959.0,161746.0
2004-05,19457.0,35885.0,67287.0,55199.0,177828.0
2004-06,22324.0,40085.0,77410.0,61725.0,201544.0
2004-07,1511.0,2964.0,5363.0,5027.0,14865.0
2004-08,3591.0,6239.0,11254.0,11391.0,32475.0
2004-09,5744.0,9830.0,20225.0,17664.0,53463.0
2004-10,7608.0,14117.0,28150.0,22967.0,72842.0
2004-11,9619.0,17879.0,34643.0,29323.0,91464.0
2004-12,11872.0,21737.0,47005.0,36003.0,116617.0
2005-01,14047.0,25260.0,55557.0,43434.0,138298.0
2005-02,15886.0,28901.0,61342.0,48930.0,155059.0
2005-03,17533.0,32414.0,69295.0,55620.0,174862.0
2005-04,19309.0,36180.0,78792.0,62565.0,196846.0
2005-05,21010.0,39892.0,87626.0,68247.0,216775.0
2005-06,23532.0,44151.0,99255.0,75989.0,242927.0
2005-07,987.0,2687.0,6654.0,3826.0,14154.0
2005-08,2742.0,6080.0,15462.0,9577.0,33861.0
2005-09,4652.0,11369.0,27337.0,14771.0,58129.0
2005-10,6322.0,15246.0,35498.0,21362.0,78428.0
2005-11,8227.0,20179.0,42620.0,26950.0,97976.0
2005-12,9923.0,24937.0,54823.0,33753.0,123436.0
2006-01,11731.0,29458.0,62639.0,41172.0,145000.0
2006-02,13270.0,33685.0,69270.0,47161.0,163386.0
2006-03,15205.0,37886.0,78853.0,54261.0,186205.0
2006-04,16053.0,41208.0,89221.0,60194.0,206676.0
2006-05,18426.0,45389.0,100030.0,67931.0,231776.0
2006-06,20511.0,50309.0,108897.0,76263.0,255980.0
2006-07,2031.08,3768.98,7398.71,7589.0,20787.77
2006-08,4650.0,8755.0,14810.0,14016.0,42231.0
2006-09,6971.0,12768.0,28625.0,19560.0,67924.0
2006-10,8954.0,16862.0,35345.0,29267.0,90428.0
2006-11,11294.0,21240.0,43019.0,37417.0,112970.0
2006-12,13692.73,25373.9,56537.0,44617.0,140220.64
2007-01,16071.0,31205.0,65182.0,53015.0,165473.0
2007-02,18178.0,35139.0,72539.0,59867.0,185723.0
2007-03,20514.0,39613.0,82947.0,68899.0,211973.0
2007-04,23078.0,44926.0,97426.0,78522.0,243952.0
2007-05,25336.0,50336.0,108700.0,87395.0,271767.0
2007-06,27510.0,56406.0,124855.0,96269.0,305040.0
2007-07,3215.0,5162.0,10060.0,10742.0,29179.0
2007-08,5913.0,10732.0,19686.0,19580.0,55911.0
2007-09,8587.0,15286.0,34486.0,28835.0,87194.0
2007-10,11550.0,20953.0,45811.0,38500.0,116814.0
2007-11,14620.0,26998.0,56302.0,48176.0,146096.0
2007-12,16734.0,31030.0,71944.0,54489.0,174197.0
2008-01,19651.0,37665.0,83880.0,66249.0,207445.0
2008-02,22497.0,42036.0,92769.0,75003.0,232305.0
2008-03,25650.0,46662.0,105627.0,82964.0,260903.0
2008-04,27846.0,52062.0,123757.0,92085.0,295750.0
2008-05,30534.0,57077.0,138685.0,102154.0,328450.0
2008-06,32944.0,61906.0,156832.0,111939.0,363621.0
2008-07,2476.0,5238.0,11384.0,10354.0,29452.0
2008-08,4654.0,10437.0,22118.0,20201.0,57410.0
2008-09,7760.0,15882.0,39782.0,31243.0,94667.0
2008-10,10964.0,21837.0,52024.0,41993.0,126818.0
2008-11,14326.0,26446.0,62803.0,53117.0,156692.0
2008-12,18052.0,32495.0,84804.0,63846.0,199197.0
2009-01,21181.0,39019.0,98540.0,74678.0,233418.0
2009-02,24077.0,44781.0,117533.0,84620.0,271011.0
2009-03,27062.0,50503.0,133603.0,94818.0,305986.0
2009-04,29813.0,57332.0,157873.0,105056.0,350074.0
2009-05,32642.0,63422.0,179117.0,115032.0,390213.0
2009-06,36181.0,69872.0,184447.0,126854.0,417354.0
2009-07,3316.0,5848.0,11848.0,12398.0,33410.0
2009-08,6316.0,10850.0,23514.0,23044.0,63724.0
2009-09,9490.0,17273.0,45394.0,34547.0,106704.0
2009-10,12894.0,23731.0,60443.0,44887.0,141955.0
2009-11,16492.0,29838.0,73066.0,57082.0,176478.0
2009-12,20647.0,37301.0,97049.0,69454.0,224451.0
2010-01,24029.0,43080.0,111349.0,81309.0,259767.0
2010-02,27012.0,48668.0,123131.0,91879.0,290690.0
2010-03,30499.0,54375.0,140282.0,104723.0,329879.0
2010-04,34017.0,60951.0,164615.0,116820.0,376403.0
2010-05,37396.0,67745.0,182052.0,128187.0,415380.0
2010-06,41372.0,74644.0,216760.0,146792.0,479568.0
2010-07,2821.0,5889.0,13219.0,11916.0,33845.0
2010-08,6273.0,12065.0,27193.0,24513.0,70044.0
2010-09,10323.0,18968.0,51972.0,38207.0,119470.0
2010-10,14402.0,25565.0,69453.0,53228.0,162648.0
2010-11,18647.0,32331.0,84560.0,67487.0,203025.0
2010-12,22699.0,39516.0,114188.0,81576.0,257979.0
2011-01,26830.0,47177.0,130250.0,98612.0,302869.0
2011-02,29881.0,54186.0,144295.0,111427.0,339789.0
2011-03,34032.0,60879.0,164961.0,125497.0,385369.0
