Period,tax revenue_import_duty,tax revenue_excise_duty,tax revenue_income_tax,tax revenue_vat_tax,tax revenue_other_tax income,total_tax_revenue
1999-12,13912,14007,25545,19734,,73198
2000-03,21407,21182,37156,30091,,109836
2000-06,28605,28493,54402,40944,,152444
2000-07,2813,1572,2905,2708,,9998
2000-08,4427,4152,6375,7392,,22346
2000-09,7273,6604,12174,11424,,37475
2000-10,10131,8716,15448,15386,,49681
2000-11,13022,11314,19522,19824,,63682
2000-12,15048,13379,25026,23516,,76969
2001-01,17301,16115,28901,27924,,90241
2001-02,19313,18250,32481,31742,,101786
2001-03,21733,20457,36597,36730,,115517
2001-04,23951,22896,40043,41195,,128085
2001-05,26224,25321,46418,45722,,143685
2001-06,28726,28318,55829,50298,,163171
2001-07,1697,1830,3162,3337,,10026
2001-08,4407,4515,6572,8166,,23660
2001-09,5945,6662,12346,12277,,37230
2001-10,7672,8968,15683,16438,,48761
2001-11,9946,11758,19614,21232,,62550
2001-12,11575,14113,25701,24826,,76215
2002-01,13305,17460,29724,29723,,90212
2002-02,14508,20586,33596,33541,,102231
2002-03,16114,23178,37918,37506,,114716
2002-04,17607,26016,42065,41896,,127584
2002-05,19323,28974,48780,46389,,143466
2002-06,21584,32077,55862,50871,,160394
2002-07,1421,2479,3015,3892,,10807
2002-08,3226,5431,7540,8009,,24206
2002-09,4554,8517,13442,12468,,38981
2002-10,5963,10389,17528,18598,,52478
2002-11,7383,13097,22656,23163,,66299
2002-12,8520,15946,29916,27566,,81948
2003-01,10119,19296,34827,32540,,96782
2003-02,11781,22291,38580,37369,,110021
2003-03,13276,25303,44149,42047,,124775
2003-04,14712,28428,51614,46983,,141737
2003-05,16542,31455,57418,51502,,156917
2003-06,18477,35643,66744,56135,,176999
2003-07,1677,2681,4736,3622,,12716
2003-08,3297,5574,9577,7703,,26151
2003-09,4994,8937,16934,12713,,43578
2003-10,6647,12019,21865,18085,,58616
2003-11,8084,15401,26451,22932,,72868
2003-12,10044,18800,34766,28051,,91661
2004-01,12079,22689,39854,33458,,108080
2004-02,13758,25819,45323,38472,,123372
2004-03,15790,29434,51380,44115,,140719
2004-04,18003,32817,60967,49959,,161746
2004-05,19457,35885,67287,55199,,177828
2004-06,22324,40085,77410,61725,,201544
2004-07,1511,2964,5363,5027,,14865
2004-08,3591,6239,11254,11391,,32475
2004-09,5744,9830,20225,17664,,53463
2004-10,7608,14117,28150,22967,,72842
2004-11,9619,17879,34643,29323,,91464
2004-12,11872,21737,47005,36003,,116617
2005-01,14047,25260,55557,43434,,138298
2005-02,15886,28901,61342,48930,,155059
2005-03,17533,32414,69295,55620,,174862
2005-04,19309,36180,78792,62565,,196846
2005-05,21010,39892,87626,68247,,216775
2005-06,23532,44151,99255,75989,,242927
2005-07,987,2687,6654,3826,,14154
2005-08,2742,6080,15462,9577,,33861
2005-09,4652,11369,27337,14771,,58129
2005-10,6322,15246,35498,21362,,78428
2005-11,8227,20179,42620,26950,,97976
2005-12,9923,24937,54823,33753,,123436
2006-01,11731,29458,62639,41172,,145000
2006-02,13270,33685,69270,47161,,163386
2006-03,15205,37886,78853,54261,,186205
2006-04,16053,41208,89221,60194,,206676
2006-05,18426,45389,100030,67931,,231776
2006-06,20511,50309,108897,76263,,255980
2006-07,2031.08,3768.98,7398.71,7589,,20787.77
2006-08,4650,8755,14810,14016,,42231
2006-09,6971,12768,28625,19560,,67924
2006-10,8954,16862,35345,29267,,90428
2006-11,11294,21240,43019,37417,,112970
2006-12,13692.73,25373.9,56537,44617,,140220.64
2007-01,16071,31205,65182,53015,,165473
2007-02,18178,35139,72539,59867,,185723
2007-03,20514,39613,82947,68899,,211973
